Answers:,group,firstMoveRate,secondMoveRate,thirdMoveRate,forthMoveRate,fifthMoveRate,firstBox1Rate,firstBox2Rate,firstBox3Rate,firstBox4Rate,firstBox5Rate,firstBox6Rate,secBox1Rate,secBox2Rate,secBox3Rate,secBox4Rate,secBox5Rate,secBox6Rate,firstRangeReal,secRangeReal,thirdRangeReal,forthRangeReal,fifthRangeReal,firstBox1Real,firstBox2Real,firstBox3Real,firstBox4Real,firstBox5Real,firstBox6Real,secBox1Real,secBox2Real,secBox3Real,secBox4Real,secBox5Real,secBox6Real
"EST(S\S(aj),aj))",firstRangeWithout,4.421875,16.796875,41.765625,27.109375,9.75,4.4375,18.71875,6.25390625,61.30078125,6.20703125,3.08203125,27.1875,25,19.671875,13.921875,6.734375,5.984375,0,9.375,42.1875,43.75,4.6875,1.5625,9.375,0,85.9375,1.5625,0,35.9375,17.1875,26.5625,6.25,10.9375,1.5625
"EST(S\S(aj),aj))",secRangeWithout,4.677966102,14.91525424,41.83050847,28.3220339,10.08474576,4.627118644,17.93220339,6.427966102,61.30932203,6.546610169,3.156779661,26.94915254,25.08474576,19.47457627,13.3220339,7.644067797,5.898305085,1.694915254,0,45.76271186,47.45762712,5.084745763,1.694915254,10.16949153,0,84.74576271,1.694915254,0,33.89830508,16.94915254,27.11864407,6.779661017,11.86440678,1.694915254
"EST(S\S(aj),aj))",thirdRangeWithout,5.947368421,16.13157895,33.68421053,33.42105263,10.81578947,2.210526316,17.71052632,6.848684211,61.13815789,8.611842105,3.480263158,25.65789474,24.34210526,21.28947368,12.65789474,9.236842105,4.289473684,2.631578947,15.78947368,0,73.68421053,7.894736842,2.631578947,10.52631579,0,81.57894737,2.631578947,0,31.57894737,18.42105263,28.94736842,7.894736842,10.52631579,0
"EST(S\S(aj),aj))",forthRangeWithout,5.243243243,20.45945946,46.02702703,19.83783784,8.162162162,5.702702703,19.05405405,4.621621622,65.56756757,3,2.054054054,25.54054054,27.83783784,17.83783784,13.91891892,7.972972973,6.891891892,2.702702703,16.21621622,72.97297297,0,8.108108108,0,5.405405405,0,94.59459459,0,0,37.83783784,18.91891892,21.62162162,2.702702703,16.21621622,2.702702703
"EST(S\S(aj),aj))",fifthRangeWithout,5.048387097,17.01612903,42.38709677,25.64516129,9.741935484,4.580645161,18.67741935,6.294354839,60.69758065,6.568548387,3.181451613,27.58064516,23.62903226,18.69354839,14.37096774,8,6.177419355,1.612903226,9.677419355,43.5483871,45.16129032,0,1.612903226,9.677419355,0,85.48387097,1.612903226,0,37.09677419,14.51612903,25.80645161,6.451612903,12.90322581,1.612903226
"EST(S\S(aj),aj))",firstBox1GroupWithout,4.65625,16.796875,41.765625,26.875,9.75,4.4375,18.671875,5.875,62.328125,5.984375,2.703125,27.1875,25.390625,19.609375,13.921875,7.90625,5.984375,1.5625,9.375,42.1875,42.1875,4.6875,0,9.375,0,87.5,1.5625,0,35.9375,17.1875,26.5625,4.6875,12.5,1.5625
"EST(S\S(aj),aj))",firstBox2GroupWithout,5.474576271,17.37288136,41.15254237,26.52542373,9.305084746,4.389830508,13.01694915,6.61440678,65.90254237,6.81779661,3.258474576,26.69491525,25.76271186,21.16949153,10.01694915,8.406779661,6.322033898,1.694915254,10.16949153,42.37288136,40.6779661,5.084745763,1.694915254,0,0,94.91525424,1.694915254,0,33.89830508,18.6440678,28.81355932,1.694915254,13.55932203,1.694915254
"EST(S\S(aj),aj))",firstBox3GroupWithout,4.969230769,16.84615385,41.35384615,26.92307692,9.753846154,4.369230769,18.43076923,6.157692308,61.74230769,6.265384615,3.034615385,26.76923077,25,19.36923077,13.70769231,7.784615385,5.892307692,1.538461538,9.230769231,41.53846154,43.07692308,4.615384615,1.538461538,9.230769231,0,86.15384615,1.538461538,0,35.38461538,16.92307692,26.15384615,6.153846154,12.30769231,1.538461538
"EST(S\S(aj),aj))",firstBox4GroupWithout,2.777777778,10,30.55555556,46.11111111,10.55555556,2.777777778,48.11111111,3.805555556,27.69444444,14.36111111,3.25,29.44444444,22.77777778,1.555555556,33.33333333,1.111111111,1.111111111,0,0,22.22222222,77.77777778,0,11.11111111,66.66666667,0,0,11.11111111,0,33.33333333,11.11111111,0,44.44444444,0,0
"EST(S\S(aj),aj))",firstBox5GroupWithout,5.046875,17.109375,42,25.78125,9.90625,4.4375,18.71875,6.25390625,62.70703125,4.80078125,3.08203125,27.1875,23.828125,19.671875,13.921875,7.90625,5.984375,1.5625,9.375,42.1875,42.1875,4.6875,1.5625,9.375,0,87.5,0,0,35.9375,15.625,26.5625,6.25,12.5,1.5625
