Answers:,group,firstMoveRate,secondMoveRate,thirdMoveRate,forthMoveRate,fifthMoveRate,firstBox1Rate,firstBox2Rate,firstBox3Rate,firstBox4Rate,firstBox5Rate,firstBox6Rate,secBox1Rate,secBox2Rate,secBox3Rate,secBox4Rate,secBox5Rate,secBox6Rate,firstRangeReal,secRangeReal,thirdRangeReal,forthRangeReal,fifthRangeReal,firstBox1Real,firstBox2Real,firstBox3Real,firstBox4Real,firstBox5Real,firstBox6Real,secBox1Real,secBox2Real,secBox3Real,secBox4Real,secBox5Real,secBox6Real
"EST(S\S(aj),aj))",secBox3GroupWithout,1.830769231,14.65384615,51.76153846,23.79230769,7.961538462,4.615384615,3.476923077,63.41538462,11.13846154,15.32307692,2.169230769,7.961025641,19.95076923,12.70769231,30.88410256,19.16102564,9.473846154,0,23.07692308,49.23076923,23.07692308,4.615384615,3.076923077,0,87.69230769,4.615384615,3.076923077,1.538461538,6.153846154,18.46153846,0,47.69230769,20,7.692307692
"EST(S\S(aj),aj))",secBox4GroupWithout,1.529411765,13.01470588,50.92647059,26.25,8.279411765,2.705882353,4.029411765,57.70588235,16.08823529,17.38235294,2.088235294,8.01372549,25.84705882,16.05882353,8.837254902,26.3372549,15.17058824,0,20.58823529,47.05882353,23.52941176,8.823529412,2.941176471,0,82.35294118,8.823529412,2.941176471,2.941176471,11.76470588,35.29411765,0,0,38.23529412,14.70588235
"EST(S\S(aj),aj))",secBox5GroupWithout,1.5,15.59615385,53.90384615,22.59615385,6.403846154,4.788461538,2.788461538,65.82692308,10.76923077,13.88461538,2.115384615,9.012820513,23.23076923,9.903846154,36.80128205,12.05128205,9.173076923,0,23.07692308,53.84615385,21.15384615,1.923076923,3.846153846,0,88.46153846,3.846153846,3.846153846,0,7.692307692,23.07692308,0,59.61538462,0,9.615384615
"EST(S\S(aj),aj))",secBox6GroupWithout,1.983333333,15.04166667,52.325,22.85833333,7.791666667,4.833333333,3.433333333,64.53333333,10.06666667,15.1,2.183333333,8.43,21.28,13.1,32.76333333,19.39666667,5.18,0,21.66666667,51.66666667,21.66666667,5,3.333333333,0,88.33333333,5,1.666666667,1.666666667,6.666666667,20,0,51.66666667,21.66666667,0
"EST(S,A)",All,1.830769231,14.65384615,51.76153846,23.79230769,7.961538462,4.615384615,3.476923077,63.41538462,11.13846154,15.32307692,2.169230769,7.961025641,19.95076923,12.70769231,30.88410256,19.16102564,9.473846154,0,23.07692308,49.23076923,23.07692308,4.615384615,3.076923077,0,87.69230769,4.615384615,3.076923077,1.538461538,6.153846154,18.46153846,0,47.69230769,20,7.692307692
"EST(S(ai),aj) ",firstRange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST(S(ai),aj) ",secRange,2,17,51,22,8,0.666666667,1.333333333,70.33333333,9.333333333,17.66666667,0.666666667,9.444444445,18.33333333,7.266666667,40.44444444,24.11111111,1,0,100,0,0,0,0,0,93.33333333,0,6.666666667,0,0,13.33333333,0,53.33333333,20,13.33333333
"EST(S(ai),aj) ",thirdRange,0.65625,14.875,59.6875,20.0625,4.71875,5.8125,2.6875,64.375,10.8125,15.03125,1.28125,8.4375,20.5625,11.25,33.8125,16.5625,9.375,0,0,100,0,0,6.25,0,84.375,6.25,0,3.125,12.5,21.875,0,50,12.5,3.125
"EST(S(ai),aj) ",forthRange,3.533333333,12.76666667,40.3,33.63333333,9.766666667,5.6,6.666666667,54.46666667,14.53333333,14,5.333333333,5.72,18.92,21.13333333,18.58666667,16.25333333,19.38666667,0,0,0,100,0,0,0,86.66666667,6.666666667,6.666666667,0,0,13.33333333,0,46.66666667,26.66666667,13.33333333
"EST(S(ai),aj) ",fifthRange,5,10,28.33333333,23.33333333,33.33333333,6.666666667,6.666666667,63.33333333,6.666666667,13.33333333,3.333333333,6.666666667,26.66666667,13.33333333,13.33333333,36.66666667,3.333333333,0,0,0,0,100,0,0,100,0,0,0,0,33.33333333,0,0,66.66666667,0
